zone_id,x_coord,y_coord,longitude,latitude,poi_count,production,attraction
66,-73.99734807499999,40.79520554375,-73.99734807499999,40.79520554375,0,0.0,0.0
67,-73.983543525,40.79520554375,-73.983543525,40.79520554375,152,152.0,152.0
68,-73.969738975,40.79520554375,-73.969738975,40.79520554375,1655,1655.0,1655.0
69,-73.955934425,40.79520554375,-73.955934425,40.79520554375,950,950.0,950.0
70,-73.94212987499999,40.79520554375,-73.94212987499999,40.79520554375,1784,1784.0,1784.0
71,-73.928325325,40.79520554375,-73.928325325,40.79520554375,492,492.0,492.0
72,-73.914520775,40.79520554375,-73.914520775,40.79520554375,91,91.0,91.0
73,-74.011152625,40.80622363125,-74.011152625,40.80622363125,0,0.0,0.0
74,-73.99734807499999,40.80622363125,-73.99734807499999,40.80622363125,0,0.0,0.0
75,-73.983543525,40.80622363125,-73.983543525,40.80622363125,0,0.0,0.0
76,-73.969738975,40.80622363125,-73.969738975,40.80622363125,790,790.0,790.0
77,-73.955934425,40.80622363125,-73.955934425,40.80622363125,1910,1910.0,1910.0
78,-73.94212987499999,40.80622363125,-73.94212987499999,40.80622363125,2122,2122.0,2122.0
79,-73.928325325,40.80622363125,-73.928325325,40.80622363125,94,94.0,94.0
80,-73.914520775,40.80622363125,-73.914520775,40.80622363125,0,0.0,0.0
81,-74.011152625,40.81724171875,-74.011152625,40.81724171875,0,0.0,0.0
82,-73.99734807499999,40.81724171875,-73.99734807499999,40.81724171875,0,0.0,0.0
83,-73.983543525,40.81724171875,-73.983543525,40.81724171875,0,0.0,0.0
84,-73.969738975,40.81724171875,-73.969738975,40.81724171875,6,6.0,6.0
85,-73.955934425,40.81724171875,-73.955934425,40.81724171875,935,935.0,935.0
86,-73.94212987499999,40.81724171875,-73.94212987499999,40.81724171875,2000,2000.0,2000.0
87,-73.928325325,40.81724171875,-73.928325325,40.81724171875,16,16.0,16.0
88,-73.914520775,40.81724171875,-73.914520775,40.81724171875,0,0.0,0.0
89,-74.011152625,40.828259806249996,-74.011152625,40.828259806249996,0,0.0,0.0
90,-73.99734807499999,40.828259806249996,-73.99734807499999,40.828259806249996,0,0.0,0.0
91,-73.983543525,40.828259806249996,-73.983543525,40.828259806249996,0,0.0,0.0
92,-73.969738975,40.828259806249996,-73.969738975,40.828259806249996,0,0.0,0.0
93,-73.955934425,40.828259806249996,-73.955934425,40.828259806249996,394,394.0,394.0
94,-73.94212987499999,40.828259806249996,-73.94212987499999,40.828259806249996,1672,1672.0,1672.0
95,-73.928325325,40.828259806249996,-73.928325325,40.828259806249996,7,7.0,7.0
96,-73.914520775,40.828259806249996,-73.914520775,40.828259806249996,0,0.0,0.0
97,-74.011152625,40.83927789375,-74.011152625,40.83927789375,0,0.0,0.0
98,-73.99734807499999,40.83927789375,-73.99734807499999,40.83927789375,0,0.0,0.0
99,-73.983543525,40.83927789375,-73.983543525,40.83927789375,0,0.0,0.0
100,-73.969738975,40.83927789375,-73.969738975,40.83927789375,0,0.0,0.0
101,-73.955934425,40.83927789375,-73.955934425,40.83927789375,0,0.0,0.0
102,-73.94212987499999,40.83927789375,-73.94212987499999,40.83927789375,1016,1016.0,1016.0
103,-73.928325325,40.83927789375,-73.928325325,40.83927789375,47,47.0,47.0
104,-73.914520775,40.83927789375,-73.914520775,40.83927789375,0,0.0,0.0
105,-74.011152625,40.85029598125,-74.011152625,40.85029598125,0,0.0,0.0
106,-73.99734807499999,40.85029598125,-73.99734807499999,40.85029598125,0,0.0,0.0
107,-73.983543525,40.85029598125,-73.983543525,40.85029598125,0,0.0,0.0
108,-73.969738975,40.85029598125,-73.969738975,40.85029598125,0,0.0,0.0
109,-73.955934425,40.85029598125,-73.955934425,40.85029598125,0,0.0,0.0
110,-73.94212987499999,40.85029598125,-73.94212987499999,40.85029598125,481,481.0,481.0
111,-73.928325325,40.85029598125,-73.928325325,40.85029598125,634,634.0,634.0
112,-73.914520775,40.85029598125,-73.914520775,40.85029598125,0,0.0,0.0
113,-74.011152625,40.86131406875,-74.011152625,40.86131406875,0,0.0,0.0
114,-73.99734807499999,40.86131406875,-73.99734807499999,40.86131406875,0,0.0,0.0
115,-73.983543525,40.86131406875,-73.983543525,40.86131406875,0,0.0,0.0
116,-73.969738975,40.86131406875,-73.969738975,40.86131406875,0,0.0,0.0
117,-73.955934425,40.86131406875,-73.955934425,40.86131406875,0,0.0,0.0
118,-73.94212987499999,40.86131406875,-73.94212987499999,40.86131406875,30,30.0,30.0
119,-73.928325325,40.86131406875,-73.928325325,40.86131406875,682,682.0,682.0
120,-73.914520775,40.86131406875,-73.914520775,40.86131406875,149,149.0,149.0
121,-74.011152625,40.872332156249996,-74.011152625,40.872332156249996,0,0.0,0.0
122,-73.99734807499999,40.872332156249996,-73.99734807499999,40.872332156249996,0,0.0,0.0
123,-73.983543525,40.872332156249996,-73.983543525,40.872332156249996,0,0.0,0.0
124,-73.969738975,40.872332156249996,-73.969738975,40.872332156249996,0,0.0,0.0
125,-73.955934425,40.872332156249996,-73.955934425,40.872332156249996,0,0.0,0.0
126,-73.94212987499999,40.872332156249996,-73.94212987499999,40.872332156249996,0,0.0,0.0
127,-73.928325325,40.872332156249996,-73.928325325,40.872332156249996,181,181.0,181.0
128,-73.914520775,40.872332156249996,-73.914520775,40.872332156249996,529,529.0,529.0
