node_id,osm_node_id,x_coord,y_coord,longitude,latitude,activity_type,is_boundary,zone_id
12822,42723865,-73.8743724,40.8243226,-73.8743724,40.8243226,node,0,-1
12823,42723874,-73.8826767,40.8228368,-73.8826767,40.8228368,node,0,-1
12824,42723879,-73.9009507,40.8489131,-73.9009507,40.8489131,node,0,-1
12825,42723930,-73.8575555,40.8265642,-73.8575555,40.8265642,node,0,-1
12826,42723993,-73.8311661,40.8667966,-73.8311661,40.8667966,node,0,-1
12827,42724002,-73.8308122,40.8669062,-73.8308122,40.8669062,node,0,-1
12828,42724019,-73.8366863,40.8176942,-73.8366863,40.8176942,node,0,-1
12829,42724023,-73.8369705,40.8163768,-73.8369705,40.8163768,node,0,-1
12830,42724149,-73.8266091,40.8846626,-73.8266091,40.8846626,node,0,-1
12831,42724232,-73.8215162,40.8906481,-73.8215162,40.8906481,node,0,-1
12832,42724233,-73.8205169,40.8895755,-73.8205169,40.8895755,node,0,-1
12833,42724300,-73.8401092,40.8461933,-73.8401092,40.8461933,node,0,-1
12834,42724343,-73.840696,40.849731,-73.840696,40.849731,node,0,-1
12835,42724355,-73.840179,40.850994,-73.840179,40.850994,node,0,-1
12836,42724359,-73.8402759,40.8521043,-73.8402759,40.8521043,node,0,-1
12837,42724366,-73.905767,40.9007154,-73.905767,40.9007154,node,0,-1
12838,42724404,-73.869285,40.8567077,-73.869285,40.8567077,node,0,-1
12839,42724411,-73.8408147,40.8452866,-73.8408147,40.8452866,node,0,-1
12840,42724671,-73.8394741,40.8521528,-73.8394741,40.8521528,node,0,-1
12841,42724673,-73.8401894,40.8522148,-73.8401894,40.8522148,node,0,-1
12842,42724756,-73.9230165,40.8066513,-73.9230165,40.8066513,node,0,-1
12843,42724759,-73.9210535,40.8055176,-73.9210535,40.8055176,node,0,-1
12844,42724872,-73.9066984,40.8072023,-73.9066984,40.8072023,node,0,-1
12845,42724942,-73.8737126,40.8359821,-73.8737126,40.8359821,node,0,-1
12846,42724959,-73.8384447,40.8425464,-73.8384447,40.8425464,node,0,-1
12847,42724995,-73.826878,40.846919,-73.826878,40.846919,node,0,-1
12848,42725002,-73.902303,40.831351,-73.902303,40.831351,node,0,-1
12849,42725004,-73.901108,40.8314092,-73.901108,40.8314092,node,0,-1
12850,42725010,-73.8881,40.865473,-73.8881,40.865473,node,0,-1
12851,42725071,-73.8704032,40.8653652,-73.8704032,40.8653652,node,0,-1
12852,42725187,-73.8726548,40.8587022,-73.8726548,40.8587022,node,0,-1
